x,y,z
1532333134.04,4209144.642411259473801548810054,-1129676.552412927683008733596161,5882728.912277051237306646227047
1532333139.04,4218296.718813606586246962043898,-1148634.869998408025231941060296,5901424.050931743683356015073072
1532333144.04,4227329.421373491668751912588556,-1167571.081427855312597908535370,5919970.732054491740213412473418
1532333149.04,4236243.536229876237848737067713,-1186484.901089934324995581558774,5938369.883785428812479318880969
1532333154.04,4245039.837847543333779255046598,-1205376.048081254273557938366121,5956622.419943721180628170061094
1532333159.04,4253719.089267611634990800611564,-1224244.246069018322970613720843,5974729.240321621992921630213801
1532333164.04,4262282.042351178778683796108421,-1243089.223158206778667940971415,5992691.230970532684450605676119
1532333169.04,4270729.438016188924391091603186,-1261910.711763097282547324529246,6010509.264479311792510386838395
1532333174.04,4279062.006467826430103698034787,-1280708.448482979939364468030724,6028184.200245202861453416145942
1532333179.04,4287280.467422628817888285086318,-1299482.173981881000484034269984,6045716.884737445984601864078237
1532333184.04,4295385.530326507250462919501603,-1318231.632872152803172617666321,6063108.151753981808728370902129
1532333189.04,4303377.894566940970635015297451,-1336956.573601784467058074405220,6080358.822671348643305465542877
1532333194.04,4311258.249679432378385622777373,-1355656.748345285904139556291956,6097469.706688053871834024394478
1532333199.04,4319027.275548552126034087192877,-1374331.912898014950378045459022,6114441.601061630812902938122623
1532333204.04,4326685.642603570863404901892630,-1392981.826573798253594255749662,6131275.291339484817396761332619
1532333209.04,4334234.012009038548100906099769,-1411606.252105762121457279660139,6147971.551583912796415372953322
1532333214.04,4341673.035850347802827361049909,-1430204.955550220967411113656938,6164531.144591243684259110068834
1532333219.04,4349003.357314471364131294640301,-1448777.706193514340029492764217,6180954.822105508260135162856821
1532333224.04,4356225.610866062186853543333206,-1467324.276461697663522442014102,6197243.325026631740602923841339
1532333229.04,4363340.422419002652050830245512,-1485844.441832965785771782095429,6213397.383613420566818799871478
1532333234.04,4370348.409503587748118883843298,-1504337.980752733217655885713581,6229417.717681450779432277001524
1532333239.04,4377250.181429528162543394239602,-1522804.674551248557506659208180,6245305.036796071159169444900025
1532333244.04,4384046.339444723482376620042610,-1541244.307363658397923092716565,6261060.040460572758690977481742
1532333249.04,4390737.476890164602293187544238,-1559656.666052456284152896629534,6276683.418299764726348972977763
1532333254.04,4397324.179350899559332587207227,-1578041.540132188545516448829779,6292175.850239027148240338335868
